[INFO] [1776169260.121437861] [cpgfanet_topic_inference]: Rendimiento topic FANet | total=168.4 ms | preprocess=4.1 ms | infer=126.0 ms | post=38.4 ms | fps_avg=5.94 | fps_out=5.81 | last_total=169.7 ms | last_infer=126.9 ms | processed=1930 | rgb_rx=2034 | tir_rx=2051 | dropped=221 | cuda_mem=1008/1780 MB
[INFO] [1776169265.253031743] [cpgfanet_topic_inference]: Rendimiento topic FANet | total=168.5 ms | preprocess=4.1 ms | infer=126.0 ms | post=38.3 ms | fps_avg=5.94 | fps_out=5.85 | last_total=168.9 ms | last_infer=126.9 ms | processed=1960 | rgb_rx=2066 | tir_rx=2082 | dropped=224 | cuda_mem=1008/1780 MB
[INFO] [1776169270.264933422] [cpgfanet_topic_inference]: Rendimiento topic FANet | total=168.2 ms | preprocess=4.0 ms | infer=125.9 ms | post=38.2 ms | fps_avg=5.95 | fps_out=5.79 | last_total=167.1 ms | last_infer=125.1 ms | processed=1989 | rgb_rx=2097 | tir_rx=2113 | dropped=228 | cuda_mem=1008/1780 MB
[INFO] [1776169275.333913801] [cpgfanet_topic_inference]: Rendimiento topic FANet | total=167.8 ms | preprocess=4.1 ms | infer=125.8 ms | post=37.9 ms | fps_avg=5.96 | fps_out=5.92 | last_total=166.9 ms | last_infer=124.6 ms | processed=2019 | rgb_rx=2127 | tir_rx=2143 | dropped=228 | cuda_mem=1008/1780 MB
[INFO] [1776169280.471485612] [cpgfanet_topic_inference]: Rendimiento topic FANet | total=167.9 ms | preprocess=4.1 ms | infer=126.1 ms | post=37.7 ms | fps_avg=5.96 | fps_out=5.84 | last_total=167.4 ms | last_infer=124.9 ms | processed=2049 | rgb_rx=2158 | tir_rx=2174 | dropped=230 | cuda_mem=1008/1780 MB
[INFO] [1776169285.522376657] [cpgfanet_topic_inference]: Rendimiento topic FANet | total=167.5 ms | preprocess=4.1 ms | infer=125.9 ms | post=37.5 ms | fps_avg=5.97 | fps_out=5.94 | last_total=167.9 ms | last_infer=126.6 ms | processed=2079 | rgb_rx=2188 | tir_rx=2204 | dropped=230 | cuda_mem=1008/1780 MB
[INFO] [1776169290.590234704] [cpgfanet_topic_inference]: Rendimiento topic FANet | total=167.3 ms | preprocess=4.1 ms | infer=125.6 ms | post=37.6 ms | fps_avg=5.98 | fps_out=5.92 | last_total=167.5 ms | last_infer=125.9 ms | processed=2109 | rgb_rx=2218 | tir_rx=2234 | dropped=230 | cuda_mem=1008/1780 MB
[INFO] [1776169295.762057968] [cpgfanet_topic_inference]: Rendimiento topic FANet | total=168.5 ms | preprocess=4.1 ms | infer=126.5 ms | post=37.8 ms | fps_avg=5.94 | fps_out=5.80 | last_total=184.2 ms | last_infer=139.2 ms | processed=2139 | rgb_rx=2249 | tir_rx=2265 | dropped=232 | cuda_mem=1008/1780 MB
[INFO] [1776169300.799485392] [cpgfanet_topic_inference]: Rendimiento topic FANet | total=177.6 ms | preprocess=4.3 ms | infer=133.8 ms | post=39.4 ms | fps_avg=5.63 | fps_out=5.36 | last_total=185.8 ms | last_infer=140.1 ms | processed=2166 | rgb_rx=2277 | tir_rx=2293 | dropped=234 | cuda_mem=1008/1780 MB
[INFO] [1776169305.804591087] [cpgfanet_topic_inference]: Rendimiento topic FANet | total=177.5 ms | preprocess=4.3 ms | infer=133.8 ms | post=39.3 ms | fps_avg=5.63 | fps_out=5.59 | last_total=167.8 ms | last_infer=126.4 ms | processed=2194 | rgb_rx=2307 | tir_rx=2324 | dropped=239 | cuda_mem=1008/1780 MB
[INFO] [1776169310.918030867] [cpgfanet_topic_inference]: Rendimiento topic FANet | total=167.3 ms | preprocess=4.1 ms | infer=125.8 ms | post=37.4 ms | fps_avg=5.98 | fps_out=5.87 | last_total=166.7 ms | last_infer=125.2 ms | processed=2224 | rgb_rx=2339 | tir_rx=2356 | dropped=243 | cuda_mem=1008/1780 MB
[INFO] [1776169316.065820323] [cpgfanet_topic_inference]: Rendimiento topic FANet | total=167.3 ms | preprocess=4.1 ms | infer=125.7 ms | post=37.5 ms | fps_avg=5.98 | fps_out=5.83 | last_total=168.5 ms | last_infer=126.1 ms | processed=2254 | rgb_rx=2371 | tir_rx=2388 | dropped=247 | cuda_mem=1008/1780 MB
[INFO] [1776169321.156073078] [cpgfanet_topic_inference]: Rendimiento topic FANet | total=168.0 ms | preprocess=4.1 ms | infer=125.9 ms | post=38.1 ms | fps_avg=5.95 | fps_out=5.89 | last_total=168.5 ms | last_infer=126.1 ms | processed=2284 | rgb_rx=2401 | tir_rx=2418 | dropped=247 | cuda_mem=1008/1780 MB
[INFO] [1776169326.261933249] [cpgfanet_topic_inference]: Rendimiento topic FANet | total=167.9 ms | preprocess=4.1 ms | infer=125.7 ms | post=38.2 ms | fps_avg=5.95 | fps_out=5.88 | last_total=168.2 ms | last_infer=125.6 ms | processed=2314 | rgb_rx=2432 | tir_rx=2449 | dropped=249 | cuda_mem=1008/1780 MB
